matrix_version,route_id,provider,offering,adapter_id,protocol,capability,support,action,requires_explicit_degradation,limitations,evidence_digest,code_paths,test_evidence
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.cn-beijing.payg.chat_completions,alibaba.model-studio,alibaba.model-studio.payg,qwen,chat_completions,text_generation,compatible,transformed,false,,sha256:566baaa19f11a57b56bc1c554a7e7857cbd3364c880c98c878ae3d0385ea4faa,provider/qwen | internal/compatprovider | internal/protocol/openaichat,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.cn-beijing.payg.chat_completions,alibaba.model-studio,alibaba.model-studio.payg,qwen,chat_completions,tool_calling,compatible,transformed,false,function tools only; required selection needs exactly one tool,sha256:566baaa19f11a57b56bc1c554a7e7857cbd3364c880c98c878ae3d0385ea4faa,provider/qwen | internal/compatprovider | internal/protocol/openaichat,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.cn-beijing.payg.chat_completions,alibaba.model-studio,alibaba.model-studio.payg,qwen,chat_completions,usage_reporting,compatible,transformed,false,,sha256:566baaa19f11a57b56bc1c554a7e7857cbd3364c880c98c878ae3d0385ea4faa,provider/qwen | internal/compatprovider | internal/protocol/openaichat,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.cn-beijing.payg.chat_completions,alibaba.model-studio,alibaba.model-studio.payg,qwen,chat_completions,video_input,unsupported,rejected,false,outside the currently implemented offline semantic slice,sha256:566baaa19f11a57b56bc1c554a7e7857cbd3364c880c98c878ae3d0385ea4faa,provider/qwen | internal/compatprovider | internal/protocol/openaichat,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.cn-beijing.payg.chat_completions,alibaba.model-studio,alibaba.model-studio.payg,qwen,chat_completions,vision_input,unsupported,rejected,false,outside the currently implemented offline semantic slice,sha256:566baaa19f11a57b56bc1c554a7e7857cbd3364c880c98c878ae3d0385ea4faa,provider/qwen | internal/compatprovider | internal/protocol/openaichat,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.cn-beijing.payg.responses,alibaba.model-studio,alibaba.model-studio.payg,qwen,responses,audio_input,unsupported,rejected,false,outside the currently implemented offline semantic slice,sha256:c1be9659165c0cc598ee1dceaeaa56b066fc678e9fe5bb5d29b97ac33aafd7f2,provider/qwen | internal/compatprovider | internal/protocol/openairesponses,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.cn-beijing.payg.responses,alibaba.model-studio,alibaba.model-studio.payg,qwen,responses,background_execution,unsupported,rejected,false,outside the currently implemented offline semantic slice,sha256:c1be9659165c0cc598ee1dceaeaa56b066fc678e9fe5bb5d29b97ac33aafd7f2,provider/qwen | internal/compatprovider | internal/protocol/openairesponses,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.cn-beijing.payg.responses,alibaba.model-studio,alibaba.model-studio.payg,qwen,responses,batch,unsupported,rejected,false,outside the currently implemented offline semantic slice,sha256:c1be9659165c0cc598ee1dceaeaa56b066fc678e9fe5bb5d29b97ac33aafd7f2,provider/qwen | internal/compatprovider | internal/protocol/openairesponses,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.cn-beijing.payg.responses,alibaba.model-studio,alibaba.model-studio.payg,qwen,responses,file_input,unsupported,rejected,false,outside the currently implemented offline semantic slice,sha256:c1be9659165c0cc598ee1dceaeaa56b066fc678e9fe5bb5d29b97ac33aafd7f2,provider/qwen | internal/compatprovider | internal/protocol/openairesponses,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.cn-beijing.payg.responses,alibaba.model-studio,alibaba.model-studio.payg,qwen,responses,function_error_result,partial,degraded,true,portable is_error is unavailable; explicit degradation preserves output text,sha256:c1be9659165c0cc598ee1dceaeaa56b066fc678e9fe5bb5d29b97ac33aafd7f2,provider/qwen | internal/compatprovider | internal/protocol/openairesponses,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.cn-beijing.payg.responses,alibaba.model-studio,alibaba.model-studio.payg,qwen,responses,hosted_tools,unsupported,rejected,false,outside the currently implemented offline semantic slice,sha256:c1be9659165c0cc598ee1dceaeaa56b066fc678e9fe5bb5d29b97ac33aafd7f2,provider/qwen | internal/compatprovider | internal/protocol/openairesponses,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.cn-beijing.payg.responses,alibaba.model-studio,alibaba.model-studio.payg,qwen,responses,parallel_tool_calling,unsupported,rejected,false,portable parallel-tool control is not approved in this slice,sha256:c1be9659165c0cc598ee1dceaeaa56b066fc678e9fe5bb5d29b97ac33aafd7f2,provider/qwen | internal/compatprovider | internal/protocol/openairesponses,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.cn-beijing.payg.responses,alibaba.model-studio,alibaba.model-studio.payg,qwen,responses,prompt_caching,unsupported,rejected,false,outside the currently implemented offline semantic slice,sha256:c1be9659165c0cc598ee1dceaeaa56b066fc678e9fe5bb5d29b97ac33aafd7f2,provider/qwen | internal/compatprovider | internal/protocol/openairesponses,tests/qwen
praxis.model-invoker.semantic-matrix/v1candidate,alibaba.model-studio.cn-beijing.payg.responses,alibaba.model-studio,alibaba.model-studio.payg,qwen,responses,provider_continuation,unsupported,rejected,false,outside the currently implemented offline semantic slice,sha256:c1be9659165c0cc598ee1dceaeaa56b066fc678e9fe5bb5d29b97ac33aafd7f2,provider/qwen | internal/compatprovider | internal/protocol/openairesponses,tests/qwen
